Area, RTSID, location_center_lat, location_center_lon, change_vol_year, change_area_year, dem_avg_slope, dem_aspect, dem_elevation, location
Peel, 1, 68.4829584525, -136.5874855805, 6654.4411289404, 951.0255279653, 5.4937195778, 288.7511702513, 322.3241882324, hillslope, 
Peel, 2, 68.4881679014, -136.6913687093, 16805.1998472601, 2228.3423912941, 10.7262182236, 131.4286391711, 382.2645263672, hillslope, 
Peel, 3, 68.4105770454, -136.5935870775, 6699.1945177166, 1061.9552991628, 8.9696159363, 159.6980880469, 316.8352966309, hillslope, 
Peel, 4, 68.4028076684, -136.575240699, 5810.8587032775, 830.3487894241, 13.0402374268, 58.0331079889, 293.486907959, hillslope, 
Peel, 5, 68.4331353328, -135.8973827891, 3474.1541623103, 895.7927130176, 7.887670517, 348.3269591087, 275.4597473145, lakeshore, 
Peel, 6, 68.4634083727, -135.8996997807, 4357.1589099243, 770.4745614556, 12.2944116592, 275.164725491, 202.4087219238, hillslope, 
Peel, 7, 68.4519788158, -135.6147479578, 942.4664602268, 250.6363031241, 8.1716842651, 353.116788471, 67.3603363037, hillslope, 
Peel, 9, 68.3380641759, -135.7612146076, 2066.6346154623, 608.025105727, 9.2775964737, 347.458413993, 324.7545776367, hillslope, 
Peel, 10, 68.3387906367, -135.7652466939, 5088.3698481333, 1429.5552104115, 10.5070753098, 74.6080338544, 324.3570556641, hillslope, 
Peel, 11, 68.3387881264, -135.7740528794, 3621.2620822636, 918.9997781217, 10.7695274353, 125.791689443, 341.6961669922, hillslope, 
Peel, 12, 68.341884424, -135.75067884, 12171.8610267215, 3304.6860708214, 10.2316331863, 131.5678326112, 301.2373352051, hillslope, 
Peel, 13, 68.3194642663, -135.7819330893, 11366.7646799742, 2473.8731400953, 8.404630661, 97.6164503123, 383.4692077637, hillslope, 
Peel, 14, 68.3632546507, -135.7501824451, 8203.8742160372, 2645.6054218655, 7.2154612541, 122.8860551212, 261.6723632812, hillslope, 
Peel, 15, 68.3844733799, -135.7538398556, 2478.8407608244, 1072.1664078086, 10.7977018356, 332.5352723719, 267.0562133789, hillslope, 
Peel, 16, 68.3832295076, -135.8268371656, 5922.5589507362, 1870.4894473891, 9.5115747452, 321.7907191763, 243.2548522949, hillslope, 
Peel, 17, 68.3884978304, -135.8177824065, 4521.4053409425, 1011.828038538, 11.189160347, 313.2681738041, 226.9107666016, hillslope, 
Peel, 18, 68.3612753643, -135.7662628112, 3117.4346308416, 798.3230395805, 13.5298337936, 75.846841697, 304.1448364258, hillslope, 
Peel, 19, 68.3410521435, -135.7451844041, 2665.3077725416, 654.4392359351, 11.1426753998, 354.0006933454, 283.2555847168, hillslope, 
Peel, 20, 68.3422831457, -135.740338483, 1623.8156543131, 380.595867707, 8.7493934631, 331.7725179833, 273.6586914062, hillslope, 
Peel, 21, 68.3484286767, -135.7126560921, 8676.9353796566, 2566.7014005116, 8.9929571152, 133.0693592288, 239.6056213379, hillslope, 
Peel, 22, 68.3571808644, -135.7162112964, 1683.9990642989, 649.7978229143, 11.7525691986, 48.8599168812, 215.4146728516, hillslope, 
Peel, 23, 68.3539501443, -135.7359218865, 1007.5960494777, 255.2777161449, 11.0209112167, 359.2547582827, 237.6663360596, hillslope, 
Peel, 24, 68.3159483157, -135.7154535502, 3926.6317328491, 1935.4692296805, 7.5295939445, 113.2686458796, 370.785369873, hillslope, 
Peel, 25, 68.2540792975, -135.8004502146, 3196.037628912, 829.884648122, 8.0842866898, 135.76639798, 282.8959655762, hillslope, 
Peel, 26, 68.2642685804, -135.7600086777, 1760.8494643595, 451.1453456234, 10.1385650635, 316.6009775704, 254.4875793457, hillslope, 
Peel, 27, 68.2328864244, -135.9142727114, 7142.1428429561, 1576.2238618693, 11.6587467194, 98.596879804, 370.5759277344, lakeshore, 
Peel, 28, 68.2247458357, -135.9096419605, 6073.0740344232, 1169.6360812458, 12.0507144928, 95.4074402085, 370.2945556641, lakeshore, 
Peel, 29, 68.229824121, -135.9120147149, 3362.1904132451, 1069.3815599961, 10.8405609131, 63.2878470556, 363.670501709, lakeshore, 
Peel, 30, 68.2029818546, -135.9302691334, 13053.67904684, 2550.9205962408, 12.7757015228, 47.5537220437, 470.8271789551, hillslope, 
Peel, 31, 68.2037238049, -135.965044107, 7073.804098617, 1537.2359924945, 13.7089166641, 152.3943002986, 547.7058105469, hillslope, 
Peel, 32, 68.2051862138, -135.8775733598, 4814.6029397058, 1431.4117756198, 11.2796983719, 240.4258201369, 387.3089904785, lakeshore, 
Peel, 33, 68.2111640318, -135.6530549751, 34245.3410084701, 3798.0682749342, 11.9123735428, 111.8037278608, 255.2537384033, hillslope, 
Peel, 34, 68.213887778, -135.6302825576, 1990.9747106459, 568.108953748, 9.553817749, 209.1561952146, 253.2879943848, hillslope, 
Peel, 35, 68.2089967326, -135.5937120286, 10596.5219837849, 1802.7248172852, 16.539899826, 199.1057679705, 237.2621459961, hillslope, 
Peel, 36, 68.2066900715, -135.5861346083, 9003.0784696932, 2692.9478346778, 7.1952033043, 210.2238616451, 235.9719848633, hillslope, 
